"species","compound_name","Station 1","Station 2","Station 4","Station 6","Station 7","Station 8","Station 9","Station 10","Station 11"
"S_DGCC","S_DGCC 42:9 +2O",0,0,51541.9685982563,0,15392701.1598284,2587779.50074421,0,17436475.0279228,0
"S_DGCC","S_DGCC 44:0 +1O",12063576.9768233,31086537.6690768,27384619.9438703,8486710.23373103,10332017.5043813,82521315.3124649,3799469.27894522,52534406.7714978,26660223.7983605
"S_DGCC","S_DGCC 44:0 +4O",9475749.97376381,23044142.269528,22138849.5129293,12174421.8362284,12568298.695329,26601757.7668303,4139752.73030829,23223396.9021078,14303268.546051
"S_DGCC","S_DGCC 44:1 +1O",5752344.20604622,13361846.2007332,11512294.0662784,4102806.46889091,5146339.26758842,28467946.3987785,2109861.67932561,18648579.4007091,10643778.2681778
"S_DGCC","S_DGCC 44:1 +4O",6644843.1506864,9214206.28470231,9527347.98915286,9471528.83014724,8552001.00136276,9680168.31368075,4941367.76325311,20794171.7939449,7020520.45713699
"S_DGCC","S_DGCC 44:3 +1O",16520818.9206509,33513339.6539457,36438692.8871109,6447276.61345478,18556823.6052061,87068859.8646821,2369168.95800243,65351785.8652384,31821978.9374122
"S_DGCC","S_DGCC 44:4 +3O",2322963.78607443,10581688.3395559,9941739.5328836,9343550.79038556,7535874.95042294,8410963.99486496,3611482.08924704,10011509.4754013,7039809.41279708
"S_DGCC","S_DGCC 44:4 +4O",1306629.30622283,3558978.34848983,4146453.8616761,4247076.69547227,3131945.20942827,4149650.16980262,934829.237502534,4153076.34501243,3240058.85931191
"S_DGCC","S_DGCC 44:5 +1O",1452104.93953637,4732804.75423693,5736749.78816056,1121029.34751149,5368793.69558459,15138938.4995908,257228.982590795,10788993.6805436,3947638.77729412
"S_DGCC","S_DGCC 46:0 +4O",5121576.2086183,13683039.2030351,15374243.2279257,4793199.50359006,12060650.8159447,18752128.4854138,1576236.9069891,21403516.832416,11263098.6195213
"S_DGCC","S_DGCC 46:1 +4O",19991491.1806839,64515740.4859269,58259916.2212766,11092716.3598935,39099555.0271174,92617286.8473439,3166127.47460618,92905847.1946357,56936209.3488986
"S_DGCC","S_DGCC 46:4 +1O",7447408.69228526,29115857.7627392,29938660.8025485,5804309.3958739,12746772.6677597,57867850.1386206,2489852.38261439,41603907.0709427,27317345.5795686
"S_DGCC","S_DGCC 46:4 +4O",3472681.91844532,11204426.7564478,10834534.3915825,9230700.03979143,7970930.55183127,11300292.2939991,3685141.62159416,11062138.2929281,9679189.30237937
"S_DGCC","S_DGCC 48:1 +1O",4140723.01765664,10847792.6329799,10537295.6796002,5979101.96969601,7343687.75719427,8001365.34024377,4025472.79484632,12189422.1175887,4203701.87258928
"S_DGCC","S_DGCC 48:1 +4O",3408029.74128447,11386667.0103782,14492166.1100669,3884412.44106925,9472405.41011881,19181621.428588,1739484.71624344,18494468.1778576,11683544.95533
"S_DGCC","S_DGCC 48:2 +1O",8038538.66099517,19069087.7928889,21088598.6700098,5419001.25334255,7604419.35199225,5545221.92586117,2871879.91441926,13311362.5262727,11667954.5704274
"S_DGCC","S_DGCC 48:2 +4O",9353171.10411896,27277505.0694785,27624284.8485932,12601888.9479962,21770684.0342917,28860974.6189904,3821737.30346436,33346438.1003025,23862991.7014543
"S_DGCC","S_DGCC 48:6 +1O",0,0,0,0,146187421.264702,12997403.9412256,0,40539609.151946,0
"S_DGCC","S_DGCC 48:7 +1O",0,0,0,49014.4373806615,234138075.404961,29188650.4389374,0,59717552.1049617,0
"S_DGCC","S_DGCC 50:4 +2O",7214128.97517374,23337314.3740977,20323192.2509317,4408988.10814796,5551588.20577817,23475676.6132298,3645677.89755365,25117520.1253237,11250660.0329137
"S_DGCC","S_DGCC 52:4 +4O",112880.663266084,764202.843302063,937786.188055962,1087285.11280629,97001224.0717456,19751572.4484461,226224.294062739,63296053.8868729,592838.406766985
"SQDG","SQDG 28:0",449826547.457581,1089859502.59768,1308234143.04067,281521332.085325,138624316.302103,156144193.189587,77024956.9873508,279286259.415036,1000120940.42343
"SQDG","SQDG 28:0 +1O",1313234.71515601,6938244.03614327,9923313.52410151,4298535.65428409,1321991.33977306,7885309.99095121,2942035.54595141,3738299.16013259,3881190.86596983
"SQDG","SQDG 28:2 +1O",364969.616239713,1886972.40414706,7347663.78348271,812778.113569096,668681.802636367,1982374.33372311,615734.753544425,1506631.30140996,962786.685810899
"SQDG","SQDG 30:0",73003817.3681694,136791161.969484,112915848.387429,222979270.409109,50464446.8001329,43764694.6641498,42475323.3829778,97668059.9724314,101136662.790233
"SQDG","SQDG 30:2 +1O",726478.65882989,3070872.68498636,2832837.13749601,3229938.07666158,645118.598689418,3268329.69306037,1170331.73580062,1799880.93609069,2237698.32158839
"SQDG","SQDG 30:3",5322245.48251042,12747802.0956199,11303961.753801,2339514.60898961,12023902.3446693,10182723.3671458,480116.604075218,21183074.0502926,8132847.80479073
"SQDG","SQDG 30:3 +1O",1336204.48805404,6806509.60669015,6637310.13061134,5196843.96732097,1502025.02024594,1517917.36849323,1410071.64027642,1532374.52726954,3900111.62038007
