"species","compound_name","Orbi_1231","Orbi_1232","Orbi_1233","Orbi_1234","Orbi_1236","Orbi_1237","Orbi_1238","Orbi_1240","Orbi_1241","Orbi_1242","Orbi_1243","Orbi_1244","Orbi_1245","Orbi_1246","Orbi_1247","Orbi_1280","Orbi_1281","Orbi_1282","Orbi_1283","Orbi_1284","Orbi_1285","Orbi_1286","Orbi_1287","Orbi_1288","Orbi_1290","Orbi_1291","Orbi_1292","Orbi_1293","Orbi_1296","Orbi_1297","Orbi_1299","Orbi_1309","Orbi_1310","Orbi_1312","Orbi_1315","Orbi_1316"
"MGDG","MGDG 32:5 +3O",1250573.63975573,39655.2908694251,681598.300314085,772492.832939921,759619.37063112,1415782.4243462,220014.539794547,623596.985995819,1412833.34505083,1204125.97073763,109114.453979823,2152633.65379688,540093.581273488,637579.691423896,1737907.73479293,414988.907739498,1736656.24101307,171056.176291243,641839.005419298,3379773.6851004,1500567.68521561,1773128.52750002,986178.125755413,800197.529687641,469993.220370886,1490928.7450578,1906105.37381187,4531726.22247013,345404.644022011,2670946.59475075,2065463.90455756,1898858.65419972,3834783.77146149,449581.977682266,5346592.31133529,2493296.11063388
"MGDG","MGDG 34:2 +1O",300846.494715624,1068789.01558519,561198.46359592,970508.936779273,1323242.4673339,1421967.89186315,1200901.17796781,2354539.92791082,1130593.77104524,7796071.0952726,1731325.31309524,2076629.16355908,4411900.45443726,920027.459478773,1322955.9067227,1373215.83625081,3177575.04932627,1026473.92964651,1361118.70535061,1241660.02802407,8246586.73103992,2073205.8456837,5402764.56220486,668339.909796098,1498967.71495813,1713974.37862967,1059512.72626985,2687355.55577356,8967704.46196416,1807212.38081238,3029523.06246428,2532765.41597923,1997922.29138798,914854.230079103,2280068.90889108,1353964.36324481
"MGDG","MGDG 34:3 +1O",89366.2688838855,293547.34311501,301049.107684222,561661.392861898,302652.152019634,328728.042990872,500539.913777803,4186057.69481121,203263.444829516,7056253.79817338,2123825.30970131,1026691.19953659,5570380.75247284,303436.840324622,501636.880185497,260151.567500162,679198.61101727,251236.543578303,167647.293724314,358652.125532878,6418500.57955811,732066.115625591,9478990.06871002,330940.578396842,390508.962587092,536518.842766531,418148.890593184,735873.310531043,3612563.67133622,383862.291173021,2471666.54539188,684527.854515342,267855.007687919,94979.1081026575,1235821.65491896,960311.042140137
"MGDG","MGDG 34:5 +2O",30683.9640911397,9418442.73662863,0,109918855.55627,33934242.638829,12897490.6175398,12615075.5409394,0,10347441.1815775,0,0,538194.321872464,0,0,352539.941779609,76788737.5238835,85609.7173194337,8741776.47479443,1520171.36407089,153756462.775424,0,393787.437695598,4805590.67103545,0,0,0,232611.213382826,363542.149262354,0,30086530.0495765,4016890.45516775,11348945.9292042,781276.701254033,0,642758.23273633,21467.1083502617
"MGDG","MGDG 34:7 +2O",29184.1391056989,3748073.82768503,38766.6252352211,12373393.4972598,5335941.84871421,5265497.70195516,3255679.20815706,15822.0719880483,3354961.24095457,76172.6411647479,0,33584.055415541,0,41593.462228049,78386.5756733157,8402858.18645577,66643.4072976324,625152.868768746,117510.29448789,17494395.0238966,19724.2821129214,63553.1593406703,384955.03771925,26367.1988318061,0,50770.6488015195,0,98624.222777809,27797.1142839184,2865414.0210053,309997.452696719,4337056.28359959,65498.6359091421,0,70320.5188902251,40929.4073387404
"MGDG","MGDG 34:8 +2O",0,6059991.34879954,0,15692752.6180918,6606451.22635937,9428784.64674661,10299242.335731,0,7250287.82385601,0,28988.3884022435,0,0,0,0,11494607.7334833,0,587048.138602084,77688.330046104,22029891.4744825,0,27279.8889308998,243162.943111825,0,0,0,30990.2778373674,0,0,4604950.34653992,527508.850771905,9616093.25099912,26110.6597833701,0,126911.987098562,25169.0983829713
"MGDG","MGDG 34:8 +3O",1737987.81372095,760468.540343323,479941.012515364,2242350.22280388,1722955.1442295,548374.197908628,482966.050700827,267885.198528711,111442.781302226,8875531.89994588,974478.169946712,1723786.6132513,418462.929199592,2655977.61560296,1822516.66450421,1345904.69433225,415283.301017552,750442.566340011,1162025.75316706,461129.465899684,0,479415.361901289,4085754.82505976,546400.732403028,0,346944.607713224,744938.90337717,1621208.75276698,0,2765897.20984544,491768.026727018,258124.519111521,1951281.21945035,686842.154614716,1268590.08090789,1848929.65699628
"MGDG","MGDG 36:0 +1O",12378313.2910032,4104350.65197788,1175555.43639455,31426725.4999794,26717615.4788476,6855691.59771892,9150163.07064434,1143344.5719978,7966094.48187398,4054443.76248176,760143.362644593,6866918.28873659,840680.490659693,4175982.58333219,27778763.8888083,38139401.1177562,30419786.2541943,899159.328385461,3829692.47658827,42770407.9035733,4481114.36597119,33027936.6749943,66779241.2554985,11565200.9292994,5276738.29005942,19831336.2467077,22731430.2171745,60816953.9206914,1767371.85546689,48805101.6348435,66255379.0534091,13088781.817992,29468341.2721078,2203171.9919271,27845230.2691441,10390743.5813577
"MGDG","MGDG 36:1 +1O",556329.418388426,178478.749376959,687925.560132928,634110.679097371,652640.403967249,154417.983472597,799913.085213112,263826.92923203,156470.578396137,620404.177843541,249418.767334671,241304.555305279,819088.474451507,767514.118942316,733343.084512617,464785.454872992,590586.653830477,218986.045650971,626045.153125563,718152.858941946,419921.507384783,721344.685638846,999019.072576275,380968.956273055,143413.528111871,530395.287013573,555890.49777133,651290.193979924,214335.165377233,673653.621568094,421082.010706056,1004629.89764979,684635.618227966,1053246.70559063,1037826.66146946,1211001.8083956
"MGDG","MGDG 36:10 +1O",140880.127198904,2107127.53276617,0,20717661.9173068,30683011.824774,3461396.10365197,2832478.67296671,0,2871129.9272419,107297.116273445,0,161529.773989757,27439.6954794555,29967.3384427939,51686.9441044529,12798942.4984488,0,7070682.43900694,1658398.307593,35664656.2968983,108806.066826995,76273.0896153868,4565932.10970623,0,0,0,67443.8277184197,161609.953603621,41530.4817542076,14738556.7259897,584726.907723607,3090063.27938148,309777.198220003,0,197835.613804649,103142.438710355
"MGDG","MGDG 36:10 +2O",33915.8351059014,66547.3625287078,30374.6383331205,0,0,0,34685.623606219,470248.180125527,0,918821.146271283,678881.949732737,1152775.18293472,406804.974252504,0,508405.643144408,0,63313.4810375723,0,0,0,801277.723963233,345025.78336528,0,87085.3793639504,31870.757352581,0,247436.340534766,406631.847987875,1631053.32193404,0,892242.367871456,54853.1526740515,1849843.61393349,0,1246634.89949251,743594.22288881
